"concept_id","alma_uri","alma_label","db_uri_1","db_uri_2"
1,"programming:AbstractMethod","Abstract Method","Abstract_type",""
2,"programming:AnonymousClass","Anonymous Class","Anonymous_type",""
3,"programming:ArithmeticOperator","Arithmetic Operator","Operator_(computer_programming)",""
4,"programming:Array","Array","Array_programming","Array_data_structure"
9,"programming:Assertion","Assertion","Assertion_(software_development)",""
10,"programming:Assignment","Assignment","Assignment_(computer_science)",""
12,"programming:Attribute","Attribute","Attribute_(computing)","Property_(programming)"
14,"programming:BinaryOperator","Binary Operator","Binary_operation","Operator_(computer_programming)"
15,"programming:BitwiseOperator","Bitwise Operator","Bitwise_operation",""
16,"programming:Boolean","Boolean","Boolean_data_type",""
21,"programming:Character","Character","Character_(computing)",""
23,"programming:Class","Class","Class_(computer_programming)",""
24,"programming:ClassAttribute","Class Attribute","Attribute_(computing)","Class_variable"
25,"programming:Comment","Comment","Comment_(computer_programming)",""
26,"programming:Composition","Composition","Object_composition",""
27,"programming:Concurrency","Concurrency","Concurrency_(computer_science)","Concurrent_object-oriented_programming"
28,"programming:Condition","Condition","Conditional_(computer_programming)","Control_flow"
29,"programming:ConditionalOperator","Conditional Operator (? : )","Ternary_operation","Elvis_operator"
30,"programming:Constructor","Constructor","Constructor_(object-oriented_programming)",""
33,"programming:ControlFlow","Control Flow","Control_flow",""
34,"programming:DoWhileLoop","Do-While-Loop","Do_while_loop",""
36,"programming:Encapsulation","Encapsulation","Encapsulation_(computer_programming)",""
37,"programming:EnhancedForLoop","Enhanced For-Loop Foreach","Foreach_loop",""
42,"programming:ExceptionHandling","Exception Handling","Exception_handling",""
43,"programming:Expression","Expression","Expression_(computer_science)",""
47,"programming:ForLoop","Forloop for-loop","For_loop",""
48,"programming:GenericType","Generic Type (e.g. Collection<T>)","Generic_programming","Generics_in_Java"
50,"programming:GenericWildcard","Generics Bounded Wildcard (e.g. < ? extends ...>)","Wildcard_(Java)",""
51,"programming:GenericParameter","Generics Type Parameter (<T>)","Wildcard_(Java)","Generic_programming"
52,"programming:Goto","Goto","Goto",""
53,"programming:Headers","Header Files","Header_(computing)","Include_directive"
54,"programming:If","If-Condition","Conditional_(computer_programming)","Control_flow"
55,"programming:Import","Import Include","Include_directive",""
57,"programming:Inheritance","Inheritance","Inheritance_(object-oriented_programming)",""
58,"programming:Initialization","Initialization","Initialization_(programming)",""
